class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,9.48803557,2.9575,2.26,93.59,793,5455,0.927
1,54.4183827,4.507,2.83,9.11,443,5455,0.927
1,19.89913995,1.7822,14.6,39.3,638,5853,0.868
0,1.736952453,2.40641,33.46,891.96,1395,5805,0.791
1,2.525591777,1.6545,2.75,926.16,1406,6031,1.046
1,11.09432054,4.5945,3.9,114.81,835,6046,0.972
1,4.13443512,3.1402,2.77,427.65,1160,6046,0.972
1,2.56658897,2.429,1.59,807.74,1360,6046,0.972
0,7.36178958,5.022,39.21,767.22,1342,6227,1.958
1,16.06864674,3.5347,5.76,30.75,600,5031,0.848
1,2.470613377,1.74319,13.04,761.46,1339,5820,0.964
1,2.204735417,3.88864,16.1,4148.92,2048,6440,1.952
1,3.522498429,3.19843,14.59,1264.67,1521,6225,1.451
1,3.709214104,2.6302,1.16,500.46,1206,5833,1.022
0,11.52144606,3.6399,150.51,75.88,753,5795,0.848
0,19.40393776,12.2155,7.18,17.69,523,5043,0.68
0,19.22138894,4.79843,49.29,55.97,698,6117,0.947
0,16.46983774,9.4378,7.94,29.61,595,5152,0.786
1,9.27358173,3.2875,2.47,41.85,649,4856,0.696
1,6.02930329,1.5821,2.85,50.04,678,4537,0.672
0,2.696370652,3.6129,1.58,305.34,1066,4989,0.819
1,5.349553819,3.0278,2.55,168.99,919,5185,0.91
1,3.94105221,2.5984,1.7,253.15,1018,5185,0.91
1,8.10904807,3.596,1.3,97.03,800,5185,0.91
0,386.6030528,6.8057,41.5,1.84,297,5543,1.58
1,21.67699193,3.4555,2.95,18.64,530,4954,0.828
1,4.99677968,2.1717,2.78,166.95,917,5339,0.847
1,4.280963604,2.875,2.3,247.87,1012,5644,0.831
0,1.50635409,1.5155,4.53,1054.12,1452,5714,0.831
0,670.645531,53.412,14.14,0.35,196,5520,0.983
0,61.2563628,7.633,39.87,15.43,505,6144,1.091
1,38.3775486,5.588,2.82,18.53,529,5481,1.036
1,41.19725502,4.6297,3.86,8.76,439,5031,0.848
1,6.252962249,2.5819,2.65,108.3,823,5031,0.848
1,16.01308419,3.2554,3.1,29.31,593,5015,0.826
1,32.62876672,4.7971,3.36,15.55,506,5586,0.798
1,91.7732862,6.473,2.12,3.92,359,5586,0.798
1,4.959319244,2.22739,12.21,349.4,1103,5712,1.082
0,2.701287801,3.3827,6.54,527.81,1222,5550,0.91
1,4.49876511,3.7362,2.1,389.62,1133,6075,0.969
0,19.65120951,5.2514,12.42,67.03,730,6074,1.063
1,5.412203927,2.9472,2.94,337.68,1093,5779,1.087
1,41.43958662,10.5989,5.5,16.72,516,5468,1.046
1,8.35389523,2.2514,2.52,91.9,790,5592,0.787
1,4.125543472,3.1744,4.43,565.35,1243,6174,1.103
1,2.816504904,2.50587,12.21,521.13,1219,5532,0.955
0,33.93373447,14.561,7.34,8.11,430,5040,0.705
1,3.689920099,2.6557,1.89,408.99,1147,5880,0.917
1,4.431238488,3.15,3.25,351.23,1104,5714,1.015
1,11.37936986,2.6255,3.95,99.68,806,5714,1.015
1,26.39432897,3.573,3.07,13.49,489,5129,0.763
1,13.57078281,3.3539,2.64,89.61,785,5854,1.012
1,7.12594387,3.0014,1.79,233.31,997,5779,1.087
0,7.442652004,2.3078,15.03,206.78,967,6108,0.956
1,16.38489988,3.0249,2,8.35,433,4126,0.615
1,7.8774163,2.0805,2.16,22.18,553,4126,0.615
1,36.4454001,4.007,1.99,2.88,332,4126,0.615
1,3.728732147,2.683,6.02,258.34,1023,5497,0.809
1,40.4195037,3.362,7.51,11.29,467,5446,0.781
1,2.243380573,1.1196,1.99,107.6,822,4149,0.564
0,10.40599802,6.5036,11.23,113.94,833,5746,0.924
1,2.337437946,1.9982,2.34,311.16,1070,5005,0.765
1,7.2406612,0.558,19.45,68.63,734,5005,0.765
1,3.43591631,3.133,0.55,617.61,1272,5779,1.087
1,11.59822233,2.5237,2.65,5.82,396,3688,0.473
1,6.575315881,4.3084,5.31,251.38,1015,5992,0.989
1,7.275040844,7.5377,4.86,113.64,833,5485,0.867
1,19.27153892,2.7594,1.93,5.66,393,4077,0.56
1,10.06524317,1.369,1.91,13.43,488,4077,0.56
1,12.3935651,3.8896,2.66,49.68,677,5557,0.75
1,43.84439721,6.802,2.87,18.77,531,5854,1.012
0,3.341913228,3.813,21.55,268.67,1032,5295,0.811
0,1.626630225,2.1145,32.43,1355.88,1547,5735,0.973
1,2.711504086,3.0099,3.12,960.79,1420,6214,1.076
1,7.21203748,4.0491,3.32,260.58,1025,6214,1.076
0,14.1798187,2.505,1.88,60.35,711,5799,0.878
1,8.47237911,2.7245,2.59,75.44,751,5354,0.788
1,60.4189369,5.039,2.36,5.49,390,5354,0.788
1,12.61190435,5.1497,7.4,76.15,753,5795,0.919
0,1.433769925,1.8868,46.58,3209.29,1920,6017,1.339
0,10.31872301,3.836,28.59,139.26,876,5927,1.06
