class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
1,9.48803557,2.9575,6.16E+02,2.26,793,93.59,5455,0.927
1,54.4183827,4.507,8.75E+02,2.83,443,9.11,5455,0.927
1,19.89913995,1.7822,1.08E+04,14.6,638,39.3,5853,0.868
0,1.736952453,2.40641,8.08E+03,33.46,1395,891.96,5805,0.791
1,2.525591777,1.6545,6.03E+02,2.75,1406,926.16,6031,1.046
1,11.09432054,4.5945,1.52E+03,3.9,835,114.81,6046,0.972
1,4.13443512,3.1402,6.86E+02,2.77,1160,427.65,6046,0.972
1,2.56658897,2.429,2.27E+02,1.59,1360,807.74,6046,0.972
0,7.36178958,5.022,2.34E+02,39.21,1342,767.22,6227,1.958
1,16.06864674,3.5347,4.91E+03,5.76,600,30.75,5031,0.848
1,2.470613377,1.74319,1.42E+04,13.04,1339,761.46,5820,0.964
1,2.204735417,3.88864,6.67E+03,16.1,2048,4148.92,6440,1.952
1,3.522498429,3.19843,9.15E+03,14.59,1521,1264.67,6225,1.451
1,3.709214104,2.6302,1.31E+02,1.16,1206,500.46,5833,1.022
0,11.52144606,3.6399,1.80E+04,150.51,753,75.88,5795,0.848
0,19.40393776,12.2155,8.92E+03,7.18,523,17.69,5043,0.68
0,19.22138894,4.79843,7.43E+04,49.29,698,55.97,6117,0.947
0,16.46983774,9.4378,1.05E+04,7.94,595,29.61,5152,0.786
1,9.27358173,3.2875,1.29E+03,2.47,649,41.85,4856,0.696
1,6.02930329,1.5821,1.91E+03,2.85,678,50.04,4537,0.672
0,2.696370652,3.6129,3.98E+02,1.58,1066,305.34,4989,0.819
1,5.349553819,3.0278,8.31E+02,2.55,919,168.99,5185,0.91
1,3.94105221,2.5984,3.63E+02,1.7,1018,253.15,5185,0.91
1,8.10904807,3.596,2.17E+02,1.3,800,97.03,5185,0.91
0,386.6030528,6.8057,2.49E+04,41.5,297,1.84,5543,1.58
1,21.67699193,3.4555,8.57E+02,2.95,530,18.64,4954,0.828
1,4.99677968,2.1717,9.35E+02,2.78,917,166.95,5339,0.847
1,4.280963604,2.875,7.51E+02,2.3,1012,247.87,5644,0.831
0,1.50635409,1.5155,2.21E+03,4.53,1452,1054.12,5714,0.831
0,670.645531,53.412,1.81E+04,14.14,196,0.35,5520,0.983
0,61.2563628,7.633,5.12E+03,39.87,505,15.43,6144,1.091
1,38.3775486,5.588,7.24E+02,2.82,529,18.53,5481,1.036
1,41.19725502,4.6297,2.21E+03,3.86,439,8.76,5031,0.848
1,6.252962249,2.5819,1.04E+03,2.65,823,108.3,5031,0.848
1,16.01308419,3.2554,1.12E+03,3.1,593,29.31,5015,0.826
1,32.62876672,4.7971,1.80E+03,3.36,506,15.55,5586,0.798
1,91.7732862,6.473,6.52E+02,2.12,359,3.92,5586,0.798
1,4.959319244,2.22739,9.80E+03,12.21,1103,349.4,5712,1.082
0,2.701287801,3.3827,8.60E+02,6.54,1222,527.81,5550,0.91
1,4.49876511,3.7362,4.60E+02,2.1,1133,389.62,6075,0.969
0,19.65120951,5.2514,1.18E+04,12.42,730,67.03,6074,1.063
1,5.412203927,2.9472,6.02E+02,2.94,1093,337.68,5779,1.087
1,41.43958662,10.5989,2.79E+03,5.5,516,16.72,5468,1.046
1,8.35389523,2.2514,1.04E+03,2.52,790,91.9,5592,0.787
1,4.125543472,3.1744,1.49E+03,4.43,1243,565.35,6174,1.103
1,2.816504904,2.50587,1.68E+04,12.21,1219,521.13,5532,0.955
0,33.93373447,14.561,8.50E+03,7.34,430,8.11,5040,0.705
1,3.689920099,2.6557,4.27E+02,1.89,1147,408.99,5880,0.917
1,4.431238488,3.15,1.01E+03,3.25,1104,351.23,5714,1.015
1,11.37936986,2.6255,1.02E+03,3.95,806,99.68,5714,1.015
1,26.39432897,3.573,1.51E+03,3.07,489,13.49,5129,0.763
1,13.57078281,3.3539,5.12E+02,2.64,785,89.61,5854,1.012
1,7.12594387,3.0014,1.92E+02,1.79,997,233.31,5779,1.087
0,7.442652004,2.3078,2.44E+04,15.03,967,206.78,6108,0.956
1,16.38489988,3.0249,1.13E+03,2,433,8.35,4126,0.615
1,7.8774163,2.0805,1.31E+03,2.16,553,22.18,4126,0.615
1,36.4454001,4.007,1.12E+03,1.99,332,2.88,4126,0.615
1,3.728732147,2.683,5.23E+03,6.02,1023,258.34,5497,0.809
1,40.4195037,3.362,6.26E+03,7.51,467,11.29,5446,0.781
1,2.243380573,1.1196,8.22E+02,1.99,822,107.6,4149,0.564
0,10.40599802,6.5036,1.45E+04,11.23,833,113.94,5746,0.924
1,2.337437946,1.9982,9.71E+02,2.34,1070,311.16,5005,0.765
1,7.2406612,0.558,5.56E+02,19.45,734,68.63,5005,0.765
1,3.43591631,3.133,2.32E+01,0.55,1272,617.61,5779,1.087
1,11.59822233,2.5237,2.80E+03,2.65,396,5.82,3688,0.473
1,6.575315881,4.3084,2.79E+03,5.31,1015,251.38,5992,0.989
1,7.275040844,7.5377,3.00E+03,4.86,833,113.64,5485,0.867
1,19.27153892,2.7594,1.22E+03,1.93,393,5.66,4077,0.56
1,10.06524317,1.369,1.05E+03,1.91,488,13.43,4077,0.56
1,12.3935651,3.8896,9.17E+02,2.66,677,49.68,5557,0.75
1,43.84439721,6.802,6.15E+02,2.87,531,18.77,5854,1.012
0,3.341913228,3.813,7.25E+02,21.55,1032,268.67,5295,0.811
0,1.626630225,2.1145,1.62E+03,32.43,1547,1355.88,5735,0.973
1,2.711504086,3.0099,8.38E+02,3.12,1420,960.79,6214,1.076
1,7.21203748,4.0491,9.50E+02,3.32,1025,260.58,6214,1.076
0,14.1798187,2.505,4.60E+02,1.88,711,60.35,5799,0.878
1,8.47237911,2.7245,1.12E+03,2.59,751,75.44,5354,0.788
1,60.4189369,5.039,9.31E+02,2.36,390,5.49,5354,0.788
1,12.61190435,5.1497,6.11E+03,7.4,753,76.15,5795,0.919
0,1.433769925,1.8868,1.98E+03,46.58,1920,3209.29,6017,1.339
0,10.31872301,3.836,8.72E+02,28.59,876,139.26,5927,1.06
1,2.539183147,2.4282,3.82E+02,2.06,1332,743.09,5519,1.062
1,6.770300385,2.0844,1.30E+03,2.77,812,102.87,5653,0.679
0,0.444291966,2.0792,1.10E+04,27.51,1836,2706.26,5255,0.636
1,10.181584,3.5089,5.74E+03,7.73,812,102.91,5988,0.836
1,20.06036336,3.3203,1.49E+03,1.96,361,4,3950,0.493
1,46.1842039,4.758,1.39E+03,1.83,273,1.32,3950,0.493
1,23.9800854,5.351,1.04E+02,1.31,649,41.94,5854,1.012
1,7.82502168,2.186,5.21E+02,1.2,494,14.05,3950,0.493
1,3.895936525,2.3111,8.54E+03,7.34,1005,241.62,5557,0.774
1,22.36646466,5.228,9.87E+02,2.32,536,19.45,5395,0.734
1,1.625522174,2.38963,7.97E+03,9.73,1579,1467.41,5539,1.106
1,19.62034692,2.0038,2.17E+04,13.6,643,40.39,5710,0.905
0,7.544039,6.222,3.23E+02,17.47,838,116.46,5657,0.824
1,9.02930689,3.1449,1.02E+03,2.57,757,77.75,5349,0.82
0,10.32803571,7.7915,1.69E+04,13.28,843,119.31,5627,1.024
1,143.2063047,8.9302,1.06E+04,8.9,308,2.14,5485,0.867
1,6.164876,3.262,5.58E+01,0.79,1021,256.35,5854,1.012
1,60.32494216,6.6188,2.03E+04,12.19,411,6.77,5485,0.867
1,29.1598615,4.803,4.88E+02,1.91,524,17.85,5485,0.867
0,1.540397253,2.1541,8.16E+02,25.69,1470,1105.68,5663,0.915
0,2.99025443,5.414,5.89E+02,1.7,918,168.45,4667,0.731
1,1.594745374,1.9604,1.50E+04,11.3,1539,1329.42,5934,0.893
1,4.783002698,2.335,1.01E+03,2.5,886,145.48,5170,0.807
1,20.50588921,4.0595,2.11E+03,3.41,518,17.06,4905,0.761
1,3.340218842,1.9104,1.63E+03,2.03,656,43.73,3950,0.493
0,2.507089906,2.0067,1.34E+03,30.26,1326,730.47,5926,0.939
1,18.64932728,4.4056,8.94E+02,3.12,701,57.13,5775,1.053
1,4.90144976,4.1654,1.41E+02,1.7,1262,598.74,5847,1.402
1,9.75192101,4.793,4.18E+02,2.76,870,135.66,5775,1.053
1,38.5576546,5.794,9.93E+02,4.02,550,21.71,5775,1.053
1,3.525632539,2.59959,2.23E+04,11.58,975,213.12,5150,0.793
1,34.84398644,2.9315,4.52E+03,7.61,511,16.1,5509,0.871
1,7.748094239,3.5957,2.47E+03,5.52,964,204.39,5973,1.085
1,23.96793669,3.827,1.18E+03,1.8,329,2.77,3747,0.524
1,8.29561738,1.3421,8.24E+02,1.82,469,11.39,3747,0.524
1,8.11437482,2.2736,1.56E+03,2.1,460,10.55,3692,0.517
0,38.03672948,4.34617,8.29E+04,27.5,500,14.81,5575,0.932
1,4.64090031,35.512,2.45E+03,30.09,1155,421.08,6463,0.826
0,3.747838198,5.0642,6.16E+02,13.65,1031,266.76,5514,0.826
1,14.74914825,6.0995,4.30E+02,2.89,874,137.91,5847,1.402
1,21.81295996,4.3791,1.18E+03,3.38,639,39.33,5601,0.999
0,7.91936937,3.3148,1.51E+04,10.34,814,104,5690,0.776
1,1.028436523,1.8606,8.10E+03,72.77,1947,3400.48,6228,0.99
1,15.37562369,3.3169,1.53E+04,11.01,600,30.54,4986,0.833
1,8.10363271,3.161,8.88E+02,2.11,687,52.82,4861,0.732
1,4.71510843,2.506,4.18E+02,1.46,823,108.84,4861,0.732
1,6.365839713,2.9721,7.81E+02,2.44,914,165.33,5776,0.849
0,5.97581754,3.065,9.62E+02,3.86,1047,284.25,6108,0.997
0,2.446737317,4.7211,1.18E+03,26.25,1261,597.19,5764,0.863
1,3.04033046,1.8411,1.09E+04,8.99,1021,257.29,5035,0.791
1,15.33528675,3.897,3.08E+03,5,610,32.67,5251,0.817
1,7.95825328,4.377,5.00E+01,1.06,1074,314.15,5847,1.402
1,31.33046135,5.176,5.07E+03,6.5,481,12.61,5251,0.817
0,3.9043425,3.831,1.62E+04,12.28,1104,351.05,5810,0.898
0,9.286358079,3.49949,4.48E+04,17.61,796,95.03,5670,0.821
0,3.951405455,2.1862,2.45E+03,31.44,1133,388.71,6046,0.869
1,23.65369415,8.2183,3.34E+03,7.89,731,67.65,5739,1.384
1,13.23352214,6.7372,5.05E+02,3.06,888,146.67,5739,1.384
1,6.15560285,4.9843,2.85E+02,2.32,1146,406.94,5739,1.384
1,2.090811305,3.388,1.16E+02,1.62,1642,1718.04,5739,1.384
1,3.180027898,3.5797,1.20E+02,1.53,1458,1066.86,5847,1.402
1,50.4467417,7.159,3.70E+02,2.67,568,24.64,5739,1.384
1,11.76307164,2.9076,1.04E+03,2.35,616,33.99,4959,0.756
1,56.2279271,3.57,8.63E+02,2.37,366,4.22,4959,0.756
0,2.384052875,3.0918,1.27E+03,17.06,1010,244.87,4794,0.701
1,7.953547,2.6312,8.75E+02,2.25,696,55.37,4768,0.779
1,4.14451656,2.3421,3.92E+02,1.48,864,132.08,4768,0.779
0,4.859386384,2.2757,6.04E+03,38.33,1114,364.23,6072,0.988
1,10.52629458,2.5211,9.77E+03,8.24,713,61.16,5386,0.793
1,4.583520948,2.7055,3.81E+03,5.39,1038,274.98,5815,0.877
1,3.76181843,3.5176,5.11E+02,2.66,1121,372.62,5653,0.949
1,8.20396958,2.9667,1.02E+03,3.01,742,71.5,5015,0.826
1,14.49645186,4.016,6.48E+02,3.01,613,33.48,5015,0.826
1,6.54626149,2.75,6.56E+02,2.19,810,101.78,5251,0.817
1,12.71809866,3.0957,1.15E+03,2.31,562,23.6,4702,0.686
1,36.06588163,4.3246,1.56E+03,2.64,397,5.88,4702,0.686
1,4.190425659,2.8589,2.88E+03,6.21,1234,547.9,6073,1.135
1,3.709870784,3.0694,2.02E+03,4.35,1151,415.1,5727,0.978
1,16.3297527,6.271,1.19E+03,3.75,727,66.08,5878,0.987
1,27.80756622,4.21587,2.54E+04,13.84,554,22.24,5862,0.785
1,80.8723469,11.195,3.60E+03,7.59,452,9.88,5510,1.238
0,3.166465862,2.9381,4.36E+03,26.82,954,196.31,4968,0.704
1,24.99324319,5.9409,2.70E+02,2.29,712,60.88,5718,1.317
1,10.35533116,3.1775,7.51E+02,2.47,777,86.22,5501,0.918
1,16.08518937,3.984,1.44E+03,3.68,613,33.43,5239,0.826
1,235.9986399,8.2284,2.07E+04,10.59,188,0.29,4245,0.657
1,7.49018305,2.7297,1.12E+03,2.56,753,76.06,5103,0.787
1,36.2761238,4.7865,1.57E+03,3.03,445,9.29,5103,0.787
1,17.46087931,2.2641,8.12E+02,2.32,568,24.6,5103,0.787
1,56.0560754,4.685,1.63E+03,1.94,233,0.69,3593,0.491
1,41.40831669,5.0264,2.28E+04,11.38,453,9.93,5522,0.747
1,39.74893077,7.3051,1.52E+04,14.21,552,21.87,6122,0.964
1,5.715425977,2.5242,9.08E+02,2.47,850,123.03,5237,0.826
1,49.18394185,11.3364,1.65E+03,8.2,669,47.4,5626,2.057
1,20.0261412,1.611,4.21E+02,2.28,559,23.14,5237,0.826
1,13.61014819,2.594,5.73E+03,19.02,733,68.29,5697,0.903
0,10.44331991,2.743,1.16E+03,2.66,667,46.94,4947,0.802
1,2.237489571,1.8119,3.16E+02,1.41,1160,427.17,5265,0.81
0,5.851520671,3.11058,3.30E+04,14.62,901,155.89,5532,0.806
1,3.167893418,2.1814,7.81E+02,2.62,1221,526.23,5895,0.94
1,4.311780262,2.7251,1.15E+03,3.11,1038,274.84,5527,0.927
