# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:34:46 2025
#
# User preference: *
#
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
loc_rowid,pl_orbper,pl_trandurh,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
1,2.1713484,2.0172196,5.8181633,22601.9485814,3127.2040524,10249.0000000,2.1698600
2,1.9316462,3.1660000,11.2154000,44464.5000000,4045.0000000,7070.0000000,2.0100000
3,1.8675574,1.4080000,23.7529000,2860.6100000,2037.0000000,8924.0000000,5.7300000
4,2.7432300,3.1670000,,1177.3600000,1631.0000000,5388.5000000,
5,3.5730141,3.3700000,11.3113000,54679.3000000,4260.0000000,9219.0000000,2.1500000
6,4.5505945,2.6540000,7.1084100,414.7750000,1257.0000000,5613.0000000,1.0900000
7,2.5047918,4.3797563,8.6950898,1750.9326350,1649.8220699,6616.0000000,1.5342900
8,6.9989206,3.9530000,14.7752000,448.7440000,1282.0000000,6596.0000000,2.7000000
9,2.0483755,2.7670000,3.1962100,5644.4000000,,6858.5000000,1.5700000
10,1.9600277,2.0065257,,1063.3422958,1456.4246534,8868.7000000,
11,1.4303699,1.6165994,13.1874503,1281.2408254,1525.9048089,5600.0000000,0.8907740
12,0.6808702,2.4634563,5.9115908,87140.6995884,4382.0266062,9438.0000000,1.0000000
13,2.4704981,2.1910000,1.4465600,575.5970000,1364.0000000,5413.7000000,0.9400000
14,0.8841820,1.6210000,24.8132000,112144.0000000,5098.0000000,8928.0000000,2.7200000
15,5.4255548,3.9637474,,273.5880696,1037.2753045,8868.7000000,
16,1.4095184,0.9484999,,1650.4220710,1625.6180218,9307.0000000,
17,1.3730466,2.5708515,42.1479417,3160.6328329,1912.3318636,4897.0000000,6.7996101
18,12.6889415,7.9201001,14.0608342,425.1594177,1158.1310368,7601.0000000,1.5364100
19,1.1042200,2.3700000,21.0448000,39459.3000000,3926.0000000,6995.2000000,1.6100000
20,4.9591200,2.5090000,22.9123000,673.5500000,1419.0000000,5889.0000000,2.0000000
21,5.2341008,3.7078139,24.2931408,1453.6663847,1574.8381848,7645.0000000,1.5620300
22,4.4119378,3.6500000,15.4706000,653.2520000,1408.0000000,6280.0000000,1.2100000
23,3.2889200,3.7930000,,29832.6000000,3661.0000000,8734.2000000,
24,1.9087900,1.9090000,3.3468800,985.8070000,1561.0000000,6022.6000000,1.2200000
25,3.0957400,4.4750000,3.4262000,18087.9000000,3230.0000000,6084.0000000,1.4100000
26,1.3214483,3.4350000,21.8839000,35623.2000000,3827.0000000,5050.8000000,2.9900000
27,18.0157000,2.5240000,21.6440000,7.6436400,463.0000000,4709.0000000,7.6100000
28,9.6837921,2.4006056,,3176.3106916,1914.6989260,8598.7000000,
29,14.2628757,6.9350494,2.4765813,153.2069421,980.3628831,5690.0000000,0.8538980
30,3.2834565,1.5370000,2.8764800,161.0920000,992.0000000,4272.0000000,0.6800000
31,11.0287500,2.7150000,2.7658600,15.0463000,548.0000000,4272.0000000,0.6800000
32,5.0113292,1.0240000,2.5231400,17.1793000,567.0000000,4272.0000000,0.6800000
33,1.0160600,2.8430000,1.2070400,2784.0400000,2023.0000000,4634.0000000,0.6800000
34,36.2221400,5.1070000,,,,,
35,3.5478540,3.4943330,14.5818410,1212.0043760,1504.8589530,6351.0000000,1.4000000
36,12.1246519,4.6120000,17.6729000,207.3200000,1057.0000000,4807.6000000,1.0700000
37,5.6526230,3.4340000,8.9435400,2717.0600000,2011.0000000,6415.4000000,1.9200000
38,5.6643704,3.8087395,14.7738943,7657.6621505,2385.8536488,10395.0000000,2.3383701
39,29.0160175,5.3450000,6.7740600,33.2234000,,6113.1000000,2.0100000
40,3.6404389,2.5339234,3.7025342,9941.2265514,2783.0980270,9810.0000000,1.6077600
41,6.0744477,2.4954821,30.9493217,1487.5644344,1583.9398898,5964.0000000,2.4303801
42,3.7795212,2.9520000,5.9837500,466.5280000,1294.0000000,5771.0000000,1.1800000
43,1.2025238,1.9910000,6.3110600,208477.0000000,5952.0000000,9158.0000000,1.7400000
44,3.2235985,2.1590000,5.5134100,2064.8000000,,8904.0000000,2.1700000
45,4.4201250,3.9560000,,,,,
46,4.0872956,5.5861130,13.6237732,2242.3605401,1755.0767383,6036.0000000,2.2186699
47,2.5555500,1.5660000,11.5901000,3520.6800000,2145.0000000,10037.0000000,6.0400000
48,8.3079200,3.2280000,43.1068000,2276.2500000,1924.0000000,9081.0000000,3.0500000
49,0.7580820,1.8184632,10.1273702,216218.1005011,5499.7476332,9917.0000000,3.5086601
50,1.4415577,2.3490000,3.6107800,16861.8000000,3174.0000000,6902.0000000,1.5200000
51,1.0085089,1.6420000,,,,5215.2000000,
52,3.7039994,4.2770000,17.5700000,3546.1300000,2149.0000000,7013.8000000,1.9000000
