class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
0,2.1713484,2.0172196,656.8860989,5.8181633,3127.204052,22601.94858,10249,2.16986
1,1.9316462,3.166,1286,11.2154,4045,44464.5,7070,2.01
0,1.8675574,1.408,1500,23.7529,2037,2860.61,8924,5.73
0,3.5730141,3.37,755,11.3113,4260,54679.3,9219,2.15
0,4.5505945,2.654,3731,7.10841,1257,414.775,5613,1.09
0,2.5047918,4.3797563,2270.540219,8.6950898,1649.82207,1750.932635,6616,1.53429
1,6.9989206,3.953,2840,14.7752,1282,448.744,6596,2.7
1,1.4303699,1.6165994,18960.71229,13.1874503,1525.904809,1281.240825,5600,0.890774
0,0.6808702,2.4634563,1507.800689,5.9115908,4382.026606,87140.69959,9438,1
1,2.4704981,2.191,250,1.44656,1364,575.597,5413.7,0.94
0,1.3730466,2.5708515,1301.506534,42.1479417,1912.331864,3160.632833,4897,6.7996101
0,12.6889415,7.9201001,3232.852789,14.0608342,1158.131037,425.1594177,7601,1.53641
0,1.10422,2.37,14177.7,21.0448,3926,39459.3,6995.2,1.61
0,4.95912,2.509,7440,22.9123,1419,673.55,5889,2
1,5.2341008,3.7078139,20796.94163,24.2931408,1574.838185,1453.666385,7645,1.56203
1,4.4119378,3.65,15062,15.4706,1408,653.252,6280,1.21
0,1.90879,1.909,618.482,3.34688,1561,985.807,6022.6,1.22
0,3.09574,4.475,380,3.4262,3230,18087.9,6084,1.41
0,1.3214483,3.435,2180,21.8839,3827,35623.2,5050.8,2.99
0,18.0157,2.524,610,21.644,463,7.64364,4709,7.61
0,14.2628757,6.9350494,913.2067174,2.4765813,980.3628831,153.2069421,5690,0.853898
1,3.2834565,1.537,1558,2.87648,992,161.092,4272,0.68
1,11.02875,2.715,1694,2.76586,548,15.0463,4272,0.68
1,5.0113292,1.024,1210,2.52314,567,17.1793,4272,0.68
0,1.01606,2.843,240,1.20704,2023,2784.04,4634,0.68
1,3.547854,3.494333,10424.3718,14.581841,1504.858953,1212.004376,6351,1.4
0,12.1246519,4.612,7279,17.6729,1057,207.32,4807.6,1.07
0,5.652623,3.434,1250,8.94354,2011,2717.06,6415.4,1.92
1,5.6643704,3.8087395,3491.823297,14.7738943,2385.853649,7657.662151,10395,2.3383701
