class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
0,2.1713484,2.0172196,5.8181633,22601.94858,3127.204052,10249,2.16986
1,1.9316462,3.166,11.2154,44464.5,4045,7070,2.01
0,1.8675574,1.408,23.7529,2860.61,2037,8924,5.73
0,3.5730141,3.37,11.3113,54679.3,4260,9219,2.15
0,4.5505945,2.654,7.10841,414.775,1257,5613,1.09
0,2.5047918,4.3797563,8.6950898,1750.932635,1649.82207,6616,1.53429
1,6.9989206,3.953,14.7752,448.744,1282,6596,2.7
1,1.4303699,1.6165994,13.1874503,1281.240825,1525.904809,5600,0.890774
0,0.6808702,2.4634563,5.9115908,87140.69959,4382.026606,9438,1
1,2.4704981,2.191,1.44656,575.597,1364,5413.7,0.94
0,1.3730466,2.5708515,42.1479417,3160.632833,1912.331864,4897,6.7996101
0,12.6889415,7.9201001,14.0608342,425.1594177,1158.131037,7601,1.53641
0,1.10422,2.37,21.0448,39459.3,3926,6995.2,1.61
0,4.95912,2.509,22.9123,673.55,1419,5889,2
1,5.2341008,3.7078139,24.2931408,1453.666385,1574.838185,7645,1.56203
1,4.4119378,3.65,15.4706,653.252,1408,6280,1.21
0,1.90879,1.909,3.34688,985.807,1561,6022.6,1.22
0,3.09574,4.475,3.4262,18087.9,3230,6084,1.41
0,1.3214483,3.435,21.8839,35623.2,3827,5050.8,2.99
0,18.0157,2.524,21.644,7.64364,463,4709,7.61
0,14.2628757,6.9350494,2.4765813,153.2069421,980.3628831,5690,0.853898
1,3.2834565,1.537,2.87648,161.092,992,4272,0.68
1,11.02875,2.715,2.76586,15.0463,548,4272,0.68
1,5.0113292,1.024,2.52314,17.1793,567,4272,0.68
0,1.01606,2.843,1.20704,2784.04,2023,4634,0.68
1,3.547854,3.494333,14.581841,1212.004376,1504.858953,6351,1.4
0,12.1246519,4.612,17.6729,207.32,1057,4807.6,1.07
0,5.652623,3.434,8.94354,2717.06,2011,6415.4,1.92
1,5.6643704,3.8087395,14.7738943,7657.662151,2385.853649,10395,2.3383701
0,3.6404389,2.5339234,3.7025342,9941.226551,2783.098027,9810,1.60776
1,6.0744477,2.4954821,30.9493217,1487.564434,1583.93989,5964,2.4303801
1,3.7795212,2.952,5.98375,466.528,1294,5771,1.18
0,1.2025238,1.991,6.31106,208477,5952,9158,1.74
1,4.0872956,5.586113,13.6237732,2242.36054,1755.076738,6036,2.2186699
0,2.55555,1.566,11.5901,3520.68,2145,10037,6.04
0,8.30792,3.228,43.1068,2276.25,1924,9081,3.05
1,0.758082,1.8184632,10.1273702,216218.1005,5499.747633,9917,3.5086601
0,1.4415577,2.349,3.61078,16861.8,3174,6902,1.52
0,3.7039994,4.277,17.57,3546.13,2149,7013.8,1.9
0,1.3042553,1.706,9.36472,26944.7,3569,6762,1.75
0,0.62627,0.666,5.72162,3235.57,2101,5622,0.93
0,0.30412,0.748,10.417,280833,6413,11892,2.52
1,2.1805277,2.969175,16.808853,1770.465054,1654.404068,6599,1.2714601
1,2.1846669,2.86528,13.7028527,1362.138143,1549.44098,5630,1.23824
1,3.7354838,4.142,21.2315,1292.19,1670,6650,1.57
0,21.701669,8.2676424,2.3751494,52.095,685.2,5625,1.56486
1,9.139804,3.0912936,3.0629855,243.011763,1006.993283,5958.2,1.58
1,15.5077855,4.565,2.43432,88.0718,853,6122,1.17
1,17.4713078,4.4284819,3.5766828,53.3700317,689.3568807,5783.54,0.974669
1,5.3079507,3.2158594,3.0486928,603.2401116,1263.986113,6124.3,1.36963
1,51.1701501,6.6641048,2.9366826,11.2148229,466.7322968,5599,0.943356
1,11.1296441,7.0473822,12.8402271,1255.681716,1518.237249,5785,3.4475601
1,9.4496506,2.021,17.0216,38.5799,694,5509,0.94
1,2.8493825,3.567,16.3869,2005.83,1864,6900,1.77
1,4.1150576,1.08,2.30057,77.3573,826,5394,0.89
1,10.0665238,2.4023189,2.7272824,54.8791715,694.1792631,5552,0.791742
1,6.4438657,1.9309449,2.460344,60.831305,712.2812841,4803,0.737189
1,12.2265595,2.1904379,2.6014766,25.8970378,575.3502049,4803,0.737189
1,3.1316735,2.4579197,9.4995191,148.6544991,890.5622134,4351,0.76701
1,2.9776446,2.962,14.4339,758.324,1461,5703,1.22
1,3.9502008,4.444,20.5357,1009.38,1570,6153,1.71
0,2.9776152,3.25697,26.88423,873.27,1386.5,5740,1.28
1,3.5544026,2.0550535,13.200677,515.0014435,1214.987644,5639,1.11499
0,12.8379689,9.8464123,25.4886382,374.129,1225,5765,2.4494
1,3.9228016,1.8736007,13.3368705,91.167589,788.0973496,4444,0.6983
1,13.9428705,3.7522756,2.4233421,28.0927293,587.1759148,5206,0.741671
1,0.6047392,1.0403847,1.8625587,528.0253155,1222.59731,4046,0.580337
1,2.5495611,2.6173308,12.9171288,757.1284067,1337.864515,5659,1.03997
1,1.6062693,1.9561305,12.6436029,844.2700581,1374.801814,5192,0.984326
1,0.5182425,0.8565249,1.3485121,255.1405815,1019.329598,3325,0.390989
1,3.1644075,2.0576293,14.8814743,2206.155048,1747.949001,6519,1.7234
1,3.0440541,2.5984575,12.1086799,315.9871326,1075.318454,5523,0.809868
1,3.9652485,1.0112593,1.2305102,5.2829448,386.6684768,3296,0.199988
1,16.3469053,3.5865698,3.5059571,8.9995944,441.7489067,4310,0.649613
1,12.9802953,2.5034417,2.4241912,4.7341229,376.2093904,3614,0.491323
1,1.3484961,2.4074261,15.8824638,2706.960623,1839.671304,6346,1.14759
1,3.7178828,5.5277827,14.6986197,1925.142617,1689.411619,5818,2.0840001
0,9.30992,3.464,14.2968,215.208,1067,6907,3.09
0,1.15395,2.236,5.48364,3534.3,2148,6093,1.4
0,4.73703,3.902,25.7144,53821,4243,11600,2.48
1,2.76676,2.6872178,12.2867389,505.8840075,1209.574123,5346,0.984866
0,2.19296,4.586,22.7769,31883.5,3722,7009.8,2.95
1,1.725841,3.674,15.0024,50469.2,4175,7348,2.39
0,1.1923,3.119,30.666,40771.2,3958,6534,2.04
1,1.4821386,2.1867078,13.7339261,18197.13545,2962.241804,7066,2.6647301
0,0.9209526,1.8602735,5.7349089,32740.36294,3430.762244,6553,2.8908899
1,9.188506,2.492,2.16591,63.4589,786,5876,0.98
1,13.9028391,2.1264429,2.6136848,77.4841883,756.6987586,5876,0.983215
1,10.1826983,2.8275109,3.0538057,198.394783,957.1991659,6153,1.14582
1,6.441006,1.812,2.56374,87.8902,853,4867,0.8
1,3.1743504,2.751086,14.9172256,718.9096994,1320.651823,5943,1.15706
0,20.0731588,3.8449215,4.0506906,69.3993155,736.1368293,6033,1.14849
0,2.66903,1.548,9.36823,429.86,1268,5803.5,1.56
0,6.63371,2.122,2.75375,22.9987,610,4138.1,0.63
1,2.94308,4.073,45.3525,2533.34,1976,4437,3.13
0,341.2811281,6.303026,4.7531892,121.1597998,846.173434,6058.6,1.39203
1,10.8680523,2.375,2.90726,20.7383,594,4664,0.76
1,11.1149,2.26,14.7645,21.9713,603,5042,4.94
1,4.0782392,4.8475616,13.898174,1619.008123,1617.82673,6501,1.74836
0,7.04083,2.979,8.46404,852.336,1505,5317,0.91
1,2.1061569,1.4688934,13.086872,691.8428073,1308.041753,5380,0.940697
0,2.4545635,2.321,11.1276,2162.73,1899,6610,1.64
0,11.4756978,0.808,14.1098,11.4585,512,7262,2.13
0,2.78186,2.456,4.92567,1323.21,1680,6819,2.21
0,6.4410082,1.798,4.59203,8.2114,471,3469,0.53
1,5.0100708,2.0644756,2.3107394,210.6631712,971.6657708,5551,0.906282
1,2.2281625,2.015,2.56778,702.927,1434,5731,1.02
1,2.4997996,2.865171,13.8516093,907.8624196,1399.989438,5650,1.13732
0,1.66226,3.321,13.3343,7149.89,2561,7301,1.64
1,0.7724825,1.3744974,4.1624907,60276.50005,3996.287792,8271,2.5027299
0,1.6268695,3.231,2.36498,1946.23,1850,5034,0.73
0,13.5499,1.795,6.24633,31.6652,660,6209,1.63
0,4.43651,3.365,19.9664,8233.41,2653,7101.9,2.32
1,3.372877,2.63426,14.201803,615.165921,1270.187448,6050,1.02
1,8.34998,1.836,11.1424,19.9348,588,4236,0.74
1,4.0686405,1.8373729,3.7548333,84.108766,772.378302,4236,0.741921
1,0.5860366,0.8098934,4.906408,26813.10571,3263.672181,5579,2.39803
0,1.5502952,2.938,3.34528,10796.6,2839,7851,1.86
0,1.80709,3.297,4.86242,7233.01,2569,6244,2.2
0,18.6922101,7.765,18.1458,282.175,1141,6277,1.65
1,8.0277326,4.284,9.06883,248.619,1106,5962.7,1.15
1,12.5187279,5.38,5.58857,626.362,1393,5729,0.98
1,6.2586065,3.201,2.51593,232.392,1087,5729,0.98
1,26.3208756,4.414,2.71349,26.4328,631,5729,0.98
1,18.795547,4.3425576,2.1597669,48.477077,672.9826313,5729,0.977727
1,1.3206356,1.6000996,34.7561624,3652.258249,1982.71421,4919.6,6.3070302
0,0.64971,2.076,6.23181,83182,4731,9994,2.59
1,4.4780798,4.513,11.3678,31621.7,3715,7947,1.83
1,3.2887898,3.4367717,10.5135877,759.3373533,1338.839265,5800,1.24175
0,13.7431084,2.285,12.05,84.3234,844,5941.5,1.34
0,16.9487087,4.2887767,45.2204505,78.263287,758.5937679,5894.7,1.1179
0,3.3686634,3.012,42.2321,9856.24,2775,7518,2.68
0,11.2071839,4.366,17.4989,813.063,1487,6152,2.24
1,4.8878037,2.184,5.29152,71.6805,810,4757.3,0.76
0,0.660179,1.6349369,6.1672487,252487.7639,5717.153248,8598.7,2.62432
0,10.9278415,2.468,49.1695,270.142,1129,6259,2.92
1,5.5514888,4.335,15.8043,802.858,1482,6403.9,1.55
