# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:56:20 2025
#
# User preference: *
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
#
loc_rowid,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,41.68864400000,,2.35545351,,,5703.00,0.956122
2,41.68550000000,,2.23000000,,546.00,5766.00,0.928000
3,41.68550000000,,2.57807000,,,5766.00,1.080000
4,2.30183000000,1.9008000,1.12000000,,1054.00,4616.52,0.762602
5,2.30236800000,,1.31258765,,,4720.00,0.710995
6,1.19474880000,1.9300000,4.19000000,,,3919.00,0.570000
7,6.17836900000,,9.91257877,,,5015.00,0.789478
8,6.17887000000,2.5008000,8.84000000,,772.00,4719.28,0.849432
9,1.17589000000,1.2480000,0.86000000,,,,0.309000
10,10.69660000000,3.2400000,1.45000000,,,,0.588000
11,1.53741150000,2.3808000,45.00000000,,,,1.599000
12,2.71189000000,3.1008000,4.34000000,,2336.00,6402.00,3.167450
13,18.10549000000,,2.09985108,,,6213.00,1.224685
14,6.79870000000,,1.04700000,,,3648.00,0.282000
15,79.99990000000,11.7504000,10.20000000,,,4542.00,0.508000
16,,14.4720000,30.00000000,,,,0.707000
17,17.77297000000,2.8992000,26.44000000,,830.00,5847.00,1.254280
18,0.99656225000,2.2600000,32.80000000,,,3727.00,0.500000
19,14.91238100000,3.0300000,3.55000000,,,4224.00,0.650000
20,14.91390000000,3.2640000,3.24000000,,,,0.647000
21,0.57303573000,0.3200000,3.35000000,,,3570.00,0.430000
22,28.16560000000,,1.87000000,,,,
23,28.16960000000,3.3600000,2.20000000,,,,0.374000
24,7.90417000000,1.9200000,2.06000000,,,,0.374000
25,7.90696060000,1.7300000,3.02000000,,,3772.00,0.520000
26,1.08296140000,1.2200000,1.56000000,,,3875.00,0.560000
27,0.90565500000,1.4880000,1.57000000,,,,0.576000
28,0.90552205000,1.3200000,1.52000000,,,3710.00,0.500000
29,2.75411290000,1.2400000,4.87000000,,,3834.00,0.550000
30,2.75421000000,1.3200000,8.40000000,,,,0.890000
31,2.75391000000,1.0296000,3.78000000,,,3918.00,0.436000
32,50.28586900000,12.6200000,3.47000000,,,4859.00,0.740000
33,50.27762000000,,209.52000000,,1466.00,5141.00,10.960000
34,10.50439000000,3.3840000,1.75000000,,,,0.878000
35,1.68420800000,1.3224000,5.51000000,,,,0.431000
36,0.21220130000,0.6240000,0.51900000,,,,0.188000
37,0.21219899000,0.5200000,1.05000000,,,3468.00,0.370000
38,0.21219400000,,0.77000000,,,3299.00,0.260000
39,1.57786430000,3.0200000,7.55000000,,,4811.00,0.730000
40,1.57771549000,3.0860000,,,,5163.00,1.155850
41,1.57771549000,2.9930000,,,,7333.00,2.567520
42,13.01130000000,2.2008000,2.43000000,,713.00,5347.00,0.880221
43,40.70206194000,1.6210000,,,,3759.00,0.572892
44,21.20473900000,,9.11013939,,,5154.00,1.761722
45,2.51933400000,1.5451200,3.91000000,,,6283.00,1.450000
46,2.51940390000,1.1130000,7.65729000,219.3440,,6380.00,1.760000
47,2.51938600000,1.5840000,19.60000000,,,,2.030000
48,2.51881781000,1.5800000,,,,6380.00,1.762770
49,2.51940780000,1.2400000,7.99000000,,,7119.00,1.720000
50,13.38362900000,,2.87289326,,,5216.00,0.815235
51,13.38382000000,2.2008000,2.70000000,,608.00,5113.71,0.659730
52,11.89510000000,,,,,5040.00,0.680000
