class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,54.4183827,4.507,2.83,9.11,443.0,5455.0,0.927
1,19.89913995,1.7822,14.6,39.3,638.0,5853.0,0.868
1,2.525591777,1.6545,2.75,926.16,1406.0,6031.0,1.046
1,11.09432054,4.5945,3.9,114.81,835.0,6046.0,0.972
1,4.13443512,3.1402,2.77,427.65,1160.0,6046.0,0.972
1,2.56658897,2.429,1.59,807.74,1360.0,6046.0,0.972
1,16.06864674,3.5347,5.76,30.75,600.0,5031.0,0.848
1,2.470613377,1.74319,13.04,761.46,1339.0,5820.0,0.964
1,2.204735417,3.88864,16.1,4148.92,2048.0,6440.0,1.952
1,3.522498429,3.19843,14.59,1264.67,1521.0,6225.0,1.451
1,3.709214104,2.6302,1.16,500.46,1206.0,5833.0,1.022
0,19.22138894,4.79843,49.29,55.97,698.0,6117.0,0.947
1,9.27358173,3.2875,2.47,41.85,649.0,4856.0,0.696
0,2.696370652,3.6129,1.58,305.34,1066.0,4989.0,0.819
1,5.349553819,3.0278,2.55,168.99,919.0,5185.0,0.91
1,3.94105221,2.5984,1.7,253.15,1018.0,5185.0,0.91
1,8.10904807,3.596,1.3,97.03,800.0,5185.0,0.91
0,386.6030528,6.8057,41.5,1.84,297.0,5543.0,1.58
1,21.67699193,3.4555,2.95,18.64,530.0,4954.0,0.828
1,4.99677968,2.1717,2.78,166.95,917.0,5339.0,0.847
0,1.50635409,1.5155,4.53,1054.12,1452.0,5714.0,0.831
0,670.645531,53.412,14.14,0.35,196.0,5520.0,0.983
0,61.2563628,7.633,39.87,15.43,505.0,6144.0,1.091
1,41.19725502,4.6297,3.86,8.76,439.0,5031.0,0.848
1,16.01308419,3.2554,3.1,29.31,593.0,5015.0,0.826
1,4.959319244,2.22739,12.21,349.4,1103.0,5712.0,1.082
0,2.701287801,3.3827,6.54,527.81,1222.0,5550.0,0.91
0,19.65120951,5.2514,12.42,67.03,730.0,6074.0,1.063
1,41.43958662,10.5989,5.5,16.72,516.0,5468.0,1.046
1,4.125543472,3.1744,4.43,565.35,1243.0,6174.0,1.103
1,2.816504904,2.50587,12.21,521.13,1219.0,5532.0,0.955
1,4.431238488,3.15,3.25,351.23,1104.0,5714.0,1.015
1,11.37936986,2.6255,3.95,99.68,806.0,5714.0,1.015
1,13.57078281,3.3539,2.64,89.61,785.0,5854.0,1.012
1,7.12594387,3.0014,1.79,233.31,997.0,5779.0,1.087
0,7.442652004,2.3078,15.03,206.78,967.0,6108.0,0.956
1,16.38489988,3.0249,2.0,8.35,433.0,4126.0,0.615
1,7.8774163,2.0805,2.16,22.18,553.0,4126.0,0.615
1,36.4454001,4.007,1.99,2.88,332.0,4126.0,0.615
1,3.728732147,2.683,6.02,258.34,1023.0,5497.0,0.809
1,40.4195037,3.362,7.51,11.29,467.0,5446.0,0.781
0,10.40599802,6.5036,11.23,113.94,833.0,5746.0,0.924
1,7.2406612,0.558,19.45,68.63,734.0,5005.0,0.765
1,11.59822233,2.5237,2.65,5.82,396.0,3688.0,0.473
1,6.575315881,4.3084,5.31,251.38,1015.0,5992.0,0.989
1,7.275040844,7.5377,4.86,113.64,833.0,5485.0,0.867
1,19.27153892,2.7594,1.93,5.66,393.0,4077.0,0.56
1,12.3935651,3.8896,2.66,49.68,677.0,5557.0,0.75
0,3.341913228,3.813,21.55,268.67,1032.0,5295.0,0.811
0,1.626630225,2.1145,32.43,1355.88,1547.0,5735.0,0.973
1,7.21203748,4.0491,3.32,260.58,1025.0,6214.0,1.076
0,14.1798187,2.505,1.88,60.35,711.0,5799.0,0.878
1,8.47237911,2.7245,2.59,75.44,751.0,5354.0,0.788
1,60.4189369,5.039,2.36,5.49,390.0,5354.0,0.788
1,12.61190435,5.1497,7.4,76.15,753.0,5795.0,0.919
0,10.31872301,3.836,28.59,139.26,876.0,5927.0,1.06
1,2.539183147,2.4282,2.06,743.09,1332.0,5519.0,1.062
1,6.770300385,2.0844,2.77,102.87,812.0,5653.0,0.679
1,46.1842039,4.758,1.83,1.32,273.0,3950.0,0.493
1,23.9800854,5.351,1.31,41.94,649.0,5854.0,1.012
1,3.895936525,2.3111,7.34,241.62,1005.0,5557.0,0.774
1,22.36646466,5.228,2.32,19.45,536.0,5395.0,0.734
1,1.625522174,2.38963,9.73,1467.41,1579.0,5539.0,1.106
0,7.544039,6.222,17.47,116.46,838.0,5657.0,0.824
1,9.02930689,3.1449,2.57,77.75,757.0,5349.0,0.82
1,6.164876,3.262,0.79,256.35,1021.0,5854.0,1.012
1,60.32494216,6.6188,12.19,6.77,411.0,5485.0,0.867
0,1.540397253,2.1541,25.69,1105.68,1470.0,5663.0,0.915
1,20.50588921,4.0595,3.41,17.06,518.0,4905.0,0.761
1,3.340218842,1.9104,2.03,43.73,656.0,3950.0,0.493
0,2.507089906,2.0067,30.26,730.47,1326.0,5926.0,0.939
1,4.90144976,4.1654,1.7,598.74,1262.0,5847.0,1.402
1,9.75192101,4.793,2.76,135.66,870.0,5775.0,1.053
1,34.84398644,2.9315,7.61,16.1,511.0,5509.0,0.871
1,8.29561738,1.3421,1.82,11.39,469.0,3747.0,0.524
1,8.11437482,2.2736,2.1,10.55,460.0,3692.0,0.517
0,38.03672948,4.34617,27.5,14.81,500.0,5575.0,0.932
1,4.64090031,35.512,30.09,421.08,1155.0,6463.0,0.826
1,14.74914825,6.0995,2.89,137.91,874.0,5847.0,1.402
0,7.91936937,3.3148,10.34,104.0,814.0,5690.0,0.776
1,15.37562369,3.3169,11.01,30.54,600.0,4986.0,0.833
1,8.10363271,3.161,2.11,52.82,687.0,4861.0,0.732
1,4.71510843,2.506,1.46,108.84,823.0,4861.0,0.732
0,5.97581754,3.065,3.86,284.25,1047.0,6108.0,0.997
0,2.446737317,4.7211,26.25,597.19,1261.0,5764.0,0.863
1,3.04033046,1.8411,8.99,257.29,1021.0,5035.0,0.791
1,7.95825328,4.377,1.06,314.15,1074.0,5847.0,1.402
1,31.33046135,5.176,6.5,12.61,481.0,5251.0,0.817
0,3.951405455,2.1862,31.44,388.71,1133.0,6046.0,0.869
1,23.65369415,8.2183,7.89,67.65,731.0,5739.0,1.384
1,13.23352214,6.7372,3.06,146.67,888.0,5739.0,1.384
1,6.15560285,4.9843,2.32,406.94,1146.0,5739.0,1.384
1,2.090811305,3.388,1.62,1718.04,1642.0,5739.0,1.384
1,3.180027898,3.5797,1.53,1066.86,1458.0,5847.0,1.402
1,50.4467417,7.159,2.67,24.64,568.0,5739.0,1.384
1,11.76307164,2.9076,2.35,33.99,616.0,4959.0,0.756
0,2.384052875,3.0918,17.06,244.87,1010.0,4794.0,0.701
1,7.953547,2.6312,2.25,55.37,696.0,4768.0,0.779
1,4.14451656,2.3421,1.48,132.08,864.0,4768.0,0.779
0,4.859386384,2.2757,38.33,364.23,1114.0,6072.0,0.988
1,3.76181843,3.5176,2.66,372.62,1121.0,5653.0,0.949
1,8.20396958,2.9667,3.01,71.5,742.0,5015.0,0.826
1,14.49645186,4.016,3.01,33.48,613.0,5015.0,0.826
1,6.54626149,2.75,2.19,101.78,810.0,5251.0,0.817
