period,tranDur,radE,earthFlux,eqTemp,effTemp,radS,actual_label,predicted_label,confidence_positive,confidence_negative
0.046637,0.260400,0.125117,0.002260,0.108000,0.057200,0.116000,1.000000,1.000000,0.945293,0.054707
0.002113,0.035234,0.207710,0.063547,0.128100,0.548200,0.085800,0.000000,0.000000,0.015417,0.984583
0.081577,0.378800,0.093189,0.000911,0.086000,0.050912,0.090000,1.000000,1.000000,0.935231,0.064769
0.033503,0.119470,0.001080,0.004079,0.064500,0.599900,0.117700,1.000000,0.000000,0.454841,0.545159
0.015076,0.193000,0.046867,0.008209,0.149100,0.049540,0.282000,1.000000,0.000000,0.473277,0.526723
0.001546,0.079980,0.000770,0.146541,0.157800,0.561100,0.107300,0.000000,0.000000,0.306349,0.693651
0.000567,0.027500,0.000880,1.959853,0.301800,0.628700,0.169300,0.000000,0.000000,0.047148,0.952852
0.034100,0.223300,0.079526,0.004066,0.125100,0.061090,0.108000,0.000000,1.000000,0.781305,0.218695
0.128665,0.659900,0.045940,0.001794,0.101900,0.054650,0.105000,1.000000,1.000000,0.753013,0.246987
0.074624,0.088810,0.001750,0.000949,0.044800,0.618700,0.093700,1.000000,1.000000,0.757179,0.242821
0.007838,0.144300,0.038960,0.094014,0.274300,0.078420,0.172000,0.000000,0.000000,0.292450,0.707550
0.000926,0.014880,0.000880,0.760086,0.238300,0.605800,0.161200,0.000000,0.000000,0.116429,0.883571
0.003262,0.017593,0.008010,0.059954,0.126200,0.613100,0.094500,1.000000,1.000000,0.548634,0.451366
0.048174,0.132300,0.017114,0.000339,0.067200,0.046510,0.069000,0.000000,1.000000,0.970922,0.029078
0.001056,0.012890,0.000450,0.089872,0.139500,0.495500,0.075100,0.000000,0.000000,0.178011,0.821989
0.128910,0.409053,0.023548,0.038266,0.200596,0.310000,0.018000,1.000000,0.000000,0.057972,0.942028
0.409878,0.105800,0.002720,0.000115,0.026400,0.616700,0.106400,1.000000,1.000000,0.527293,0.472707
0.010430,0.020290,0.001140,0.015958,0.090600,0.627700,0.103100,1.000000,1.000000,0.703148,0.296852
0.024552,0.173233,0.129929,0.000775,0.075675,0.037920,0.061482,1.000000,1.000000,0.968209,0.031791
0.000644,0.008930,0.024390,0.151694,0.159200,0.513600,0.061200,1.000000,0.000000,0.158179,0.841821
0.057882,0.687900,0.116578,0.011710,0.162900,0.056680,0.374000,1.000000,1.000000,0.928861,0.071139
0.035423,0.135000,0.084259,0.001513,0.097700,0.061950,0.115000,1.000000,1.000000,0.818149,0.181851
0.028475,0.047180,0.002640,0.001350,0.048900,0.499600,0.083100,1.000000,1.000000,0.941900,0.058100
0.029160,0.048030,0.001910,0.001785,0.052400,0.548500,0.086700,1.000000,1.000000,0.851611,0.148389
0.027986,0.238010,0.119515,0.003326,0.108915,0.049200,0.090665,1.000000,1.000000,0.949753,0.050247
0.023898,0.276600,0.023285,0.037628,0.218100,0.077070,0.196000,1.000000,1.000000,0.565716,0.434284
0.260179,0.452580,0.025513,0.000262,0.057719,0.054890,0.091325,1.000000,1.000000,0.956280,0.043720
0.006366,0.029721,0.002440,0.016533,0.091400,0.577600,0.084900,1.000000,1.000000,0.885212,0.114788
0.381859,0.161210,0.008300,0.000993,0.045300,0.495900,0.448600,0.000000,1.000000,0.569333,0.430667
0.024615,0.023950,0.001280,0.002569,0.057400,0.565400,0.084900,0.000000,1.000000,0.766862,0.233138
0.011025,0.232100,0.158737,1.324580,0.531400,0.092180,0.200000,0.000000,0.000000,0.420378,0.579622
0.014080,0.013750,0.002080,0.017781,0.093100,0.582100,0.154700,1.000000,1.000000,0.882690,0.117310
