class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,0.0466368579999999,0.2604,0.125117,0.0022600899999999,0.108,0.0572,0.1159999999999999
0,0.002113202658,0.035234,0.20771,0.063547,0.1281,0.5482,0.0858
1,0.08157721,0.3787999999999999,0.0931888,0.000910972,0.086,0.050912,0.09
1,0.033502923,0.1194699999999999,0.00108,0.004079,0.0645,0.5999,0.1177
1,0.0150762979999999,0.193,0.0468666,0.00820873,0.1491,0.04954,0.282
0,0.001546222068,0.07998,0.00077,0.146541,0.1578,0.5611,0.1072999999999999
0,0.0005668016169999,0.0275,0.00088,1.959853,0.3017999999999999,0.6287,0.1693
0,0.034100261,0.2233,0.079526,0.00406598,0.1251,0.06109,0.108
1,0.128665269,0.6599,0.0459403,0.00179365,0.1019,0.054649999999999,0.105
1,0.074624063,0.08881,0.00175,0.000949,0.0448,0.6187,0.0937
0,0.0078381,0.1443,0.0389595,0.0940136,0.2743,0.07842,0.172
0,0.00092565941,0.0148799999999999,0.00088,0.7600859999999999,0.2383,0.6058,0.1612
1,0.003261759866,0.017593,0.00801,0.0599539999999999,0.1262,0.6131,0.0945
0,0.048173797,0.1323,0.0171137,0.0003391899999999,0.0672,0.0465099999999999,0.0689999999999999
0,0.00105569286,0.0128899999999999,0.00045,0.089872,0.1395,0.4955,0.0751
1,0.128910022,0.40905287,0.0235475289999999,0.03826582755,0.2005961193,0.31,0.018
1,0.40987844,0.1058,0.00272,0.0001149999999999,0.0264,0.6167,0.1064
1,0.01043003118,0.02029,0.00114,0.015958,0.0906,0.6277,0.1031
1,0.024552388,0.17323271,0.129928631,0.000775068035,0.0756753966699999,0.0379199999999999,0.0614823
1,0.000644322147,0.00893,0.02439,0.151694,0.1592,0.5136,0.0612
1,0.057881587,0.6879,0.116578,0.0117098,0.1629,0.05668,0.374
1,0.035423487,0.135,0.0842588,0.00151261,0.0977,0.06195,0.1149999999999999
1,0.0284750006,0.04718,0.00264,0.00135,0.0489,0.4996,0.0831
1,0.0291598615,0.0480299999999999,0.00191,0.001785,0.0524,0.5485,0.0867
1,0.027985802,0.23801043,0.119514993,0.00332556249,0.1089145817,0.0492,0.0906655
1,0.023898191,0.2766,0.0232849,0.0376279,0.2181,0.07707,0.196
1,0.260179101,0.45258048,0.025512622,0.000262295252,0.05771880843,0.05489,0.0913252
1,0.006365839713,0.029721,0.00244,0.016533,0.0914,0.5776,0.0849
0,0.38185852,0.16121,0.0083,0.000993,0.0453,0.4959,0.4486
0,0.024614775,0.02395,0.00128,0.002569,0.0573999999999999,0.5654,0.0849
0,0.011025238,0.2321,0.158737,1.32458,0.5314,0.09218,0.2
1,0.01407969236,0.01375,0.00208,0.017781,0.0931,0.5821,0.1547
1,0.0176997391999999,0.0276,0.00196,0.001773,0.0523,0.4807,0.0742
1,0.129623248,0.3564,0.0594559,0.000696232,0.0804,0.05996,0.1389999999999999
0,0.002621706694,0.01941,0.03468,0.064875,0.1288,0.5749,0.0881
0,0.32248381,0.2299,0.0035,0.000106,0.0259,0.5968,0.0881
1,0.044977307,0.32573447,0.1304427229999999,0.01111209212,0.1472545449,0.065439999999999,0.15335
1,0.00846354384,0.014078,0.0025099999999999,0.009937,0.0805,0.5427,0.0887
1,0.1656308,0.2317,0.300184,0.0018489,0.1027,0.06177,0.135
1,0.000716531851,0.00655,0.00111,0.406357,0.2033999999999999,0.5552,0.103
0,0.04418938922,0.068151,0.014,0.001973,0.0537,0.6061,0.0968
1,0.0345439452,0.03482,0.00267,0.003202,0.0607,0.5933,0.1115
1,0.057158895,0.2436999999999999,0.123206,0.000764949,0.0823,0.05224,0.0819999999999999
1,0.01766692,0.14196682,0.015574734,0.000570208084,0.07008548645,0.03474,0.046126
0,0.49462409,0.0836,0.00104,1.1e-05,0.0144999999999999,0.4302,0.0603999999999999
1,0.036305988,0.2303,0.0532843999999999,0.0205882,0.1876,0.05156,0.131
1,0.037077543,0.2662,0.115364,0.00317476,0.1175,0.056201999999999,0.104
1,0.071314563,0.2809,0.0798487,0.0005533189999999,0.0759,0.047016,0.088
1,0.0009886684,0.02023,0.00318,2.4258040000000003,0.3182999999999999,0.6456,0.2773
0,0.49868845,0.1788,0.00244,8.7e-05,0.0246,0.6184,0.1038
0,0.00109173174,0.019719,0.00107,0.11531,0.1488,0.5354,0.0788
1,0.029720774,0.441,0.156498,0.0193951,0.1848,0.0610112,0.195
1,0.37098253,0.1784,0.11996,0.000307,0.0338,0.6028,0.1629999999999999
0,0.000641069613,0.0103299999999999,0.00086,0.551238,0.2196,0.6077,0.0960999999999999
0,0.000648772102,0.02614,0.0026,4.739305,0.3758,0.4973,0.4708
1,0.096994666,1.57960068,0.095295926,0.001432589795,0.08823689413,0.0469599999999999,0.42105899
1,0.0166146220999999,0.02706,0.00149,0.003148,0.0603999999999999,0.5295,0.08
0,0.0356627599999999,0.4197,0.202251,0.0194916,0.1851,0.068314,0.317
1,0.0087031215399999,0.04807,0.0007199999999999,0.0188699999999999,0.0945,0.6006,0.1082
1,0.043591525,0.3559,0.0361577,0.00626954,0.1394,0.05866,0.12
0,0.0068149844719999,0.0305409,0.01418,0.011558,0.0836,0.5465,0.0817
1,0.02990721859,0.048475,0.00216,0.002392,0.0563999999999999,0.5739,0.0896
1,0.0238990075,0.15955,0.00326,0.01083,0.0823,0.5511,0.193
1,0.1136486279999999,0.4025,0.0930846,0.00140925,0.0959,0.06128,0.151
1,2.601740061,2.40527095,0.113192423,3.9769164e-05,0.0360169028,0.057389999999999,0.162762
0,0.000562563871,0.01591,0.00069,1.1201450000000002,0.2626,0.6577,0.1145
1,0.28055544,0.12757,0.00217,0.000213,0.0308,0.6292,0.1078
1,0.009292334,0.0983716,0.106079914,0.001044129181,0.08152828522,0.03207,0.0485926
1,0.06032668824,0.016864,0.00498,7.900000000000001e-05,0.024,0.3705,0.0529
1,0.014509175,0.1123,0.205418,0.0237467,0.1944,0.06472,0.124
1,0.0111734401,0.04545,0.0014,0.063206,0.1278999999999999,0.7372,0.1752
0,0.00577675928,0.0678899999999999,0.03277,0.019579,0.0954,0.5544,0.0875
1,0.0049153854519999,0.027757,0.00146,0.027943,0.1042,0.5772,0.0955999999999999
0,0.000504426087,0.016276,0.03396,0.7077760000000001,0.2339,0.6043,0.0901
