period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
4.6636858,2.604,11110.0,12.5117,1080.0,226.009,5720.0,1.16,0.999998
2.113202658,3.5234,2100.0,207.71,1281.0,635.47,5482.0,0.858,3.405432e-16
8.157721,3.788,10273.0,9.31888,860.0,91.0972,5091.2,0.9,0.9999969
33.502923,11.947,70.9,1.08,645.0,40.79,5999.0,1.177,0.9377339
1.5076298,1.93,280.0,4.68666,1491.0,820.873,4954.0,2.82,1.0
1.546222068,7.998,49.4,0.77,1578.0,1465.41,5611.0,1.073,0.9999199
0.566801617,2.75,24.9,0.88,3018.0,19598.53,6287.0,1.693,0.9999883
3.4100261,2.233,5200.0,7.9526,1251.0,406.598,6109.0,1.08,0.9999982
12.8665269,6.599,1930.0,4.59403,1019.0,179.365,5465.0,1.05,0.99997985
74.624063,8.881,347.0,1.75,448.0,9.49,6187.0,0.937,0.97547966
0.78381,1.443,426.099,3.89595,2743.0,9401.36,7842.0,1.72,0.99997735
0.92565941,1.488,30.0,0.88,2383.0,7600.86,6058.0,1.612,1.0
3.261759866,1.7593,3880.0,8.01,1262.0,599.54,6131.0,0.945,0.99999714
4.8173797,1.323,1800.0,1.71137,672.0,33.919,4651.0,0.69,1.0
1.05569286,1.289,37.5,0.45,1395.0,898.72,4955.0,0.751,1.0
12.8910022,4.0905287,15119.39001,2.3547529,2005.961193,3826.582755,31000.0,0.18,0.0
409.87844,10.58,647.0,2.72,264.0,1.15,6167.0,1.064,0.7140044
10.43003118,2.029,120.0,1.14,906.0,159.58,6277.0,1.031,0.9999995
2.4552388,1.7323271,44130.16059,12.9928631,756.7539667,77.5068035,3792.0,0.614823,0.999997
0.644322147,0.893,1080.0,24.39,1592.0,1516.94,5136.0,0.612,0.9999926
5.7881587,6.879,1372.0,11.6578,1629.0,1170.98,5668.0,3.74,1.0
3.5423487,1.35,3496.0,8.42588,977.0,151.261,6195.0,1.15,0.99999964
28.4750006,4.718,764.0,2.64,489.0,13.5,4996.0,0.831,0.99999905
29.1598615,4.803,488.0,1.91,524.0,17.85,5485.0,0.867,0.9999949
2.7985802,2.3801043,16708.7152,11.9514993,1089.145817,332.556249,4920.0,0.906655,0.99999917
2.3898191,2.766,210.0,2.32849,2181.0,3762.79,7707.0,1.96,0.9999994
26.0179101,4.5258048,766.5356589,2.5512622,577.1880843,26.2295252,5489.0,0.913252,0.99999726
6.365839713,2.9721,781.0,2.44,914.0,165.33,5776.0,0.849,0.9999987
381.85852,16.121,363.0,8.3,453.0,9.93,4959.0,4.486,1.0
24.614775,2.395,229.0,1.28,574.0,25.69,5654.0,0.849,0.99999964
1.1025238,2.321,2919.0,15.8737,5314.0,132458.0,9218.0,2.0,8.255503e-26
14.07969236,1.375,170.0,2.08,931.0,177.81,5821.0,1.547,1.0
17.6997392,2.76,753.0,1.96,523.0,17.73,4807.0,0.742,1.0
12.9623248,3.564,2427.0,5.94559,804.0,69.6232,5996.0,1.39,0.99999976
2.621706694,1.941,4570.0,34.68,1288.0,648.75,5749.0,0.881,0.9991679
322.48381,22.99,1020.0,3.5,259.0,1.06,5968.0,0.881,2.4132294e-08
4.4977307,3.2573447,5324.061552,13.0442723,1472.545449,1111.209212,6544.0,1.5335,0.9999958
8.46354384,1.4078,792.0,2.51,805.0,99.37,5427.0,0.887,1.0
16.56308,2.317,14010.0,30.0184,1027.0,184.89,6177.0,1.35,0.9997701
0.716531851,0.655,78.9,1.11,2034.0,4063.57,5552.0,1.03,1.0
44.18938922,6.8151,4290.0,14.0,537.0,19.73,6061.0,0.968,0.98324615
